contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
F50P4600056,DIT,tyler technologies,1,1,0,2023-10-04,2023-10-04,315000.0,0,315000.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50P4600079,DIT,edwards industries,1,0,1,2024-09-11,2024-09-11,,271953.0,271953.0,,,,0,no original award inside the window - only later changes were captured,1
F50P4600110,DIT,nec of america,1,1,0,2023-10-04,2023-10-04,323088.28,0,323088.28,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50P4600199,DIT,olarion,1,0,1,2024-06-05,2024-06-05,,448845.91,448845.91,,,,0,no original award inside the window - only later changes were captured,0
F50P4600215,DIT,1 1 advanced software products group,1,1,0,2024-06-05,2024-06-05,10406.0,0,10406.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",1
F50P4600229,DIT,ost,1,1,0,2024-04-03,2024-04-03,194040.0,0,194040.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600334,DIT,en net services,1,1,0,2024-05-15,2024-05-15,260802.59,0,260802.59,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600370,DIT,applied technology services,1,1,0,2024-05-15,2024-05-15,942712.0,0,942712.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600403,DIT,applied technology services,1,1,0,2024-05-15,2024-05-15,295869.0,0,295869.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600411,DIT,hcgi hartford,1,1,0,2024-05-15,2024-05-15,943929.37,0,943929.37,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600412,DIT,hcgi hartford,1,1,0,2024-05-15,2024-05-15,2276274.0,0,2276274.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600418,DIT,cas severn,1,1,0,2024-07-03,2024-07-03,342434.33,0,342434.33,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P4600444,DIT,shi international,1,1,0,2024-05-01,2024-05-01,500986.09,0,500986.09,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600007,DIT,innosoft,1,0,1,2026-06-18,2026-06-18,,427680.0,427680.0,,,,0,no original award inside the window - only later changes were captured,0
F50P5600052,DIT,hcgi hartford,1,1,0,2024-10-02,2024-10-02,357305.0,0,357305.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600057,DIT,tyler technologies,1,1,0,2024-09-11,2024-09-11,248063.0,0,248063.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600078,DIT,navitas business consulting,1,1,0,2024-12-04,2024-12-04,188535.6,0,188535.6,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600127,DIT,dsr,1,1,0,2024-11-20,2024-11-20,733481.0,0,733481.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600212,DIT,qlarion,1,0,1,2024-12-04,2024-12-04,,360166.7,360166.7,,,,0,no original award inside the window - only later changes were captured,0
F50P5600230,DIT,applied technology services,1,1,0,2024-12-04,2024-12-04,1690350.0,0,1690350.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50P5600232,DIT,"Qlarion, LLC 4.1(a) 4A Consulting, LLC 4.1(b) Elegant Enterprise-Wide Solutions, Inc. 4.1(c) Infojini, Inc.",1,0,1,2024-12-04,2024-12-04,,647134.62,647134.62,,,,0,no original award inside the window - only later changes were captured,1
F50P5600352,DIT,applied technology services,1,1,0,2025-03-19,2025-03-19,555353.0,0,555353.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50P5600374,PS,en net services,1,1,0,2025-03-19,2025-03-19,376832.36,0,376832.36,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
